"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","category_senti","sent.value"
"415","Really proud of so many of my colleagues who made it possible forto land the top spot on the Just Li…",FALSE,3,NA,2018-12-11 21:26:32,TRUE,NA,"1072603565720551424",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","BrianJanous",0,FALSE,FALSE,NA,NA,0,2,0,0,1,0,0,2,0,3,"Positive",0.75
"416","’s law firm Diversity program honors top performer",FALSE,0,"Microsoft",2018-12-11 21:26:28,FALSE,NA,"1072603546086969346","74286565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robhelle",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,2,0,2,"Positive",0.4
"418","SeriouslyIve been trying for DAYS to subscribe and when i get to the cart it gives it to m…",FALSE,0,NA,2018-12-11 21:24:18,TRUE,NA,"1072603004036108288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","crayolapoo",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,0,"Neutral",0
"420","Yes but the timeline must be short that horse is leaving the barn facialrecognition",FALSE,0,"KevinBankston",2018-12-11 21:22:52,FALSE,"1070785799417925634","1072602642017345538","14428289","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrivacyCoLLC",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,0,"Positive",0.8
"422","Todays tech policy politics update from TheBridge brought to you by

Microsoft’s Defending Democra…",FALSE,0,NA,2018-12-11 21:21:55,TRUE,NA,"1072602401633460225",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheBridgeWork",0,FALSE,FALSE,NA,NA,1,0,0,0,0,0,0,1,0,1,"Positive",0.25
"423","s new facialrecognition principlestodays GoogleHearing should highlight the human rightssecuri…",FALSE,2,NA,2018-12-11 21:21:51,TRUE,NA,"1072602386122858496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","namratha_soma",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",1.4
"424","Aww geezmy bad<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E34>",FALSE,1,"imthatholly",2018-12-11 21:21:41,FALSE,"1072601723682861057","1072602343148056576","957114996927811584","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","imthatholly",0,FALSE,FALSE,NA,NA,1,0,1,1,0,1,0,0,1,0,"Negative",-0.75
"426","So Microsoft send me this Your OneDrive account will be frozen if you don’t use your account for over a…",FALSE,0,"Microsoft",2018-12-11 21:19:06,TRUE,NA,"1072601692372459521","74286565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiceMore",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,2,0,1,"Negative",-0.25
"429","HOW do I get rid permanently ofI dont want it and I cant uninstall it or get or change my default…",FALSE,0,NA,2018-12-11 21:17:13,TRUE,NA,"1072601218424467456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PjrFoto",0,FALSE,FALSE,NA,NA,0,0,1,2,0,1,0,0,1,0,"Negative",-0.25
"432","In a digital world we need digital peace Together we can BeTheGeneration to STOPCYBERWARFARE Learn how and si…",FALSE,0,NA,2018-12-11 21:15:30,TRUE,NA,"1072600787535216641",NA,"<a href=""https://www.globalcitizen.org/"" rel=""nofollow"">Global Citizen Mobile App</a>","DebbiMarais",0,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,2,"Positive",1.55
